tt1341188	5.4	2010	30212620
tt1255953	8.2	2010	6857096
tt1228987	7.2	2010	12134420
tt0878835	6.6	2010	4033268
tt1608285	6.3	2010	15595
tt1470827	6.4	2010	237301
tt1626811	7.8	2010	20019
tt1509803	6.1	2010	20906
tt1695994	4.6	2010	535249
tt1462758	7	2010	200000
tt1440292	7.3	2010	400000
tt1216492	6.5	2010	25893485
tt1626811	7.8	2011	20019
tt1509803	6.1	2011	20906
tt1695994	4.6	2011	535249
tt1462758	7	2011	200000
tt1440292	7.3	2011	400000
tt1216492	6.5	2011	25893485
tt1626811	7.8	2011	20019
tt1509803	6.1	2011	20906
tt1695994	4.6	2011	535249
tt1462758	7	2011	200000
tt1440292	7.3	2011	400000
tt1216492	6.5	2011	25893485
